date,total_doses_daily,total_doses_cumulative,_1st_dose_daily,_1st_dose_cumulative,_1st_dose_percent_population,vaccine_series_completed_daily,vaccine_series_completed_cumulative,vaccine_series_completed_percent_population,total_doses_daily_age_0_17,total_doses_daily_age_18_29,total_doses_daily_age_30_39,total_doses_daily_age_40_49,total_doses_daily_age_50_59,total_doses_daily_age_60_69,total_doses_daily_age_70_79,total_doses_daily_age_80_plus,total_doses_daily_age_18_plus,total_doses_daily_age_65_plus,total_doses_daily_age_75_plus,total_doses_daily_age_unknown,total_doses_daily_female,total_doses_daily_male,total_doses_daily_unknown_gender,total_doses_daily_latinx,total_doses_daily_asian_non_latinx,total_doses_daily_black_non_latinx,total_doses_daily_white_non_latinx,total_doses_daily_other_non_latinx,total_doses_daily_unknown_race_ethnicity,_1st_dose_daily_age_0_17,_1st_dose_daily_age_18_29,_1st_dose_daily_age_30_39,_1st_dose_daily_age_40_49,_1st_dose_daily_age_50_59,_1st_dose_daily_age_60_69,_1st_dose_daily_age_70_79,_1st_dose_daily_age_80_,_1st_dose_daily_age_18_plus,_1st_dose_daily_age_65_plus,_1st_dose_daily_age_75_plus,_1st_dose_daily_age_unknown,_1st_dose_daily_female,_1st_dose_daily_male,_1st_dose_daily_gender_unknown,_1st_dose_daily_latinx,_1st_dose_daily_asian_non_latinx,_1st_dose_daily_black_non_latinx,_1st_dose_daily_white_non_latinx,_1st_dose_daily_other_race_non_latinx,_1st_dose_daily_unknown_race_ethnicity,vaccine_series_completed_daily_age_0_17,vaccine_series_completed_daily_age_18_29,vaccine_series_completed_daily_age_30_39,vaccine_series_completed_daily_age_40_49,vaccine_series_completed_daily_age_50_59,vaccine_series_completed_daily_age_60_69,vaccine_series_completed_daily_age_70_79,vaccine_series_completed_daily_age_80_plus,vaccine_series_completed_daily_age_18_plus,vaccine_series_completed_daily_age_65_plus,vaccine_series_completed_daily_age_75_plus,vaccine_series_completed_daily_age_unknown_age,vaccine_series_completed_daily_female,vaccine_series_completed_daily_male,vaccine_series_completed_daily_unknown_gender,vaccine_series_completed_daily_latinx,vaccine_series_completed_daily_asian_non_latinx,vaccine_series_completed_daily_black_non_latinx,vaccine_series_completed_daily_white_non_latinx,vaccine_series_completed_daily_other_race_non_latinx,vaccine_series_completed_daily_unknown_race_ethnicity,total_doses_7day_avg
2020-12-15,5,5,5,5,0.0,0,0,0.0,0,0,1,2,2,0,0,0,5,0,0,0,4,1,0,0,0,2,1,1,1,0,0,1,2,2,0,0,0,5,0,0,0,4,1,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-16,150,155,150,155,0.0,0,0,0.0,0,22,55,36,17,19,1,0,150,8,0,0,77,64,9,21,27,12,56,10,24,0,22,55,36,17,19,1,0,150,8,0,0,77,64,9,21,27,12,56,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-17,1996,2151,1996,2151,0.001,0,0,0.0,0,506,815,312,218,115,27,3,1996,69,10,0,1100,726,170,155,241,170,1021,104,305,0,506,815,312,218,115,27,3,1996,69,10,0,1100,726,170,155,241,170,1021,104,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-18,5675,7826,5675,7826,0.003,0,0,0.0,0,1465,2180,929,621,406,64,10,5675,213,32,0,3408,1875,392,482,763,351,2889,335,855,0,1465,2180,929,621,406,64,10,5675,213,32,0,3408,1875,392,482,763,351,2889,335,855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-19,3430,11256,3430,11256,0.004,0,0,0.0,0,832,1350,563,410,243,29,3,3430,121,7,0,2157,1115,158,308,430,207,1774,230,481,0,832,1350,563,410,243,29,3,3430,121,7,0,2157,1115,158,308,430,207,1774,230,481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-20,961,12217,961,12217,0.005,0,0,0.0,0,231,354,191,118,58,8,1,961,23,3,0,643,316,2,95,118,73,528,33,114,0,231,354,191,118,58,8,1,961,23,3,0,643,316,2,95,118,73,528,33,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2020-12-21,4460,16677,4460,16677,0.006,0,0,0.0,1,1230,1666,686,511,304,56,6,4459,179,25,0,2787,1333,340,440,561,340,2135,221,763,1,1230,1666,686,511,304,56,6,4459,179,25,0,2787,1333,340,440,561,340,2135,221,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2382.4285714285716
2020-12-22,3654,20331,3654,20331,0.008,0,0,0.0,1,971,1346,581,435,262,48,10,3653,144,31,0,2435,1179,40,433,496,321,1813,184,407,1,971,1346,581,435,262,48,10,3653,144,31,0,2435,1179,40,433,496,321,1813,184,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2903.714285714286
2020-12-23,2762,23093,2762,23093,0.009,0,0,0.0,0,686,964,450,389,220,46,7,2762,110,23,0,1803,932,27,379,419,338,1246,117,263,0,686,964,450,389,220,46,7,2762,110,23,0,1803,932,27,379,419,338,1246,117,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3276.8571428571427
2020-12-24,935,24028,935,24028,0.009,0,0,0.0,1,195,319,151,134,92,21,22,934,75,29,0,585,343,7,121,137,135,407,40,95,1,195,319,151,134,92,21,22,934,75,29,0,585,343,7,121,137,135,407,40,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3125.285714285714
2020-12-25,2,24030,2,24030,0.009,0,0,0.0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2314.8571428571427
2020-12-26,466,24496,466,24496,0.009,0,0,0.0,0,122,167,67,54,44,10,2,466,28,6,0,336,126,4,41,58,23,273,22,49,0,122,167,67,54,44,10,2,466,28,6,0,336,126,4,41,58,23,273,22,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1891.4285714285713
2020-12-27,10,24506,10,24506,0.009,0,0,0.0,0,3,4,1,2,0,0,0,10,0,0,0,4,5,1,1,1,1,7,0,0,0,3,4,1,2,0,0,0,10,0,0,0,4,5,1,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1755.5714285714287
