,county_name,gender,gender_display,administered_count,administered_count_display,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_display,report_date,administered_count_pct,persons_fully_vaccinated_pct
1,Hancock,Male,Male,4813,4813,0,2500,2500,2021-07-12,0.458250023802723,0.4591368227731864
2,Hancock,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,9.521089212605922e-05,0.00018365472910927456
0,Pike,Unknown,Unknown,10,10,0,1,<10,2021-07-12,0.001154334526145677,0.00021848372296263927
1,Pike,Male,Male,3843,3843,0,2060,2060,2021-07-12,0.4436107583977837,0.4500764693030369
2,Pike,Female,Female,4808,4808,0,2510,2510,2021-07-12,0.5550040401708415,0.5483941446362246
3,Pike,Other,Other,1,<10,0,1,<10,2021-07-12,0.0001154334526145677,0.00021848372296263927
0,Piatt,Female,Female,7882,7882,0,3834,3834,2021-07-12,0.553355798932884,0.551575312904618
1,Piatt,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,7.020499859590003e-05,0.00014386419220256078
2,Piatt,Male,Male,6359,6359,0,3115,3115,2021-07-12,0.44643358607132827,0.44813695871097686
0,Clinton,Female,Female,16481,16481,0,8378,8378,2021-07-12,0.5319540378284165,0.5311608444810753
1,Clinton,Male,Male,14480,14480,0,7382,7382,2021-07-12,0.46736814924795045,0.4680149622773093
2,Clinton,Unknown,Unknown,21,21,0,13,13,2021-07-12,0.0006778129236330773,0.0008241932416154187
0,Crawford,Female,Female,6841,6841,0,3410,3410,2021-07-12,0.5186111742854976,0.5213270142180095
1,Crawford,Other,Other,10,10,0,1,<10,2021-07-12,0.0007580926389204761,0.00015288182235132243
2,Crawford,Unknown,Unknown,184,184,0,92,92,2021-07-12,0.01394890455613676,0.014065127656321664
3,Crawford,Male,Male,6156,6156,0,3034,3034,2021-07-12,0.46668182851944506,0.4638434490139122
0,Brown,Male,Male,3359,3359,0,1704,1704,2021-07-12,0.6521063871092991,0.6508785332314744
1,Brown,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00019413706076490002,0.0003819709702062643
2,Brown,Female,Female,1790,1790,0,913,913,2021-07-12,0.34750533876917106,0.3487394957983193
0,Marshall,Female,Female,5473,5473,0,2708,2708,2021-07-12,0.5634136298126415,0.5591575469750155
1,Marshall,Unknown,Unknown,22,22,0,13,13,2021-07-12,0.0022647724933086266,0.0026842865992153624
2,Marshall,Male,Male,4219,4219,0,2122,2122,2021-07-12,0.4343215976940498,0.43815816642576916
0,Woodford,Unknown,Unknown,200,200,0,100,100,2021-07-12,0.0061285775571489854,0.006080136195050769
1,Woodford,Female,Female,17672,17672,0,8826,8826,2021-07-12,0.5415211129496844,0.5366328205751809
2,Woodford,Male,Male,14756,14756,0,7518,7518,2021-07-12,0.4521664521664522,0.4571046391439168
3,Woodford,Other,Other,1,<10,0,1,<10,2021-07-12,3.064288778574493e-05,6.080136195050769e-05
0,Tazewell,Female,Female,64961,64961,0,32469,32469,2021-07-12,0.5518685594379454,0.5494466443293735
1,Tazewell,Male,Male,52574,52574,0,26535,26535,2021-07-12,0.4466362531963878,0.44903035841202155
2,Tazewell,Other,Other,1,<10,0,1,<10,2021-07-12,8.495382759470228e-06,1.692219176227705e-05
3,Tazewell,Unknown,Unknown,166,166,0,86,86,2021-07-12,0.001410233538072058,0.0014553084915558264
0,Warren,Male,Male,5698,5698,0,2855,2855,2021-07-12,0.456424223005447,0.45767874318691887
1,Warren,Female,Female,6784,6784,0,3382,3382,2021-07-12,0.543415571932073,0.5421609490221225
2,Warren,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,8.010253123998718e-05,0.0001603077909586406
0,Menard,Male,Male,4486,4486,0,2283,2283,2021-07-12,0.4307249159865579,0.4331246442800228
1,Menard,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,9.601536245799327e-05,0.00018971732119142478
2,Menard,Female,Female,5924,5924,0,2985,2985,2021-07-12,0.5687950072011522,0.566306203756403
3,Menard,Other,Other,1,<10,0,1,<10,2021-07-12,9.601536245799327e-05,0.00018971732119142478
0,Fulton,Female,Female,15527,15527,0,7884,7884,2021-07-12,0.5171873959096662,0.5174246898995866
1,Fulton,Unknown,Unknown,152,152,0,73,73,2021-07-12,0.005062953833855173,0.004790969350922098
2,Fulton,Male,Male,14343,14343,0,7280,7280,2021-07-12,0.4777496502564786,0.4777843407494914
0,Bond,Male,Male,5092,5092,0,2546,2546,2021-07-12,0.4489508023276318,0.44982332155477034
1,Bond,Other,Other,1,<10,0,1,<10,2021-07-12,8.816787162757891e-05,0.00017667844522968197
2,Bond,Female,Female,6230,6230,0,3104,3104,2021-07-12,0.5492858402398166,0.5484098939929328
3,Bond,Unknown,Unknown,16,16,0,1,<10,2021-07-12,0.0014106859460412625,0.00017667844522968197
0,Union,Unknown,Unknown,11,11,0,1,<10,2021-07-12,0.0008533085098130479,0.00015705983979896342
1,Union,Female,Female,7083,7083,0,3486,3486,2021-07-12,0.5494531068187107,0.5475106015391864
2,Union,Male,Male,5797,5797,0,2874,2874,2021-07-12,0.44969358467147624,0.4513899795822208
0,Randolph,Other,Other,1,<10,0,1,<10,2021-07-12,4.28338901739056e-05,8.491847826086956e-05
1,Randolph,Unknown,Unknown,28,28,0,19,19,2021-07-12,0.0011993489248693567,0.0016134510869565217
2,Randolph,Male,Male,11737,11737,0,5893,5893,2021-07-12,0.50274136897113,0.5004245923913043
3,Randolph,Female,Female,11575,11575,0,5861,5861,2021-07-12,0.49580227876295724,0.49770720108695654
0,Scott,Male,Male,1318,1318,0,664,664,2021-07-12,0.43455324760962744,0.43799472295514513
1,Scott,Female,Female,1713,1713,0,851,851,2021-07-12,0.5647873392680515,0.5613456464379947
2,Scott,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.0003297065611605671,0.0006596306068601583
0,Stark,Other,Other,1,<10,0,1,<10,2021-07-12,0.00023386342376052386,0.00046425255338904364
1,Stark,Male,Male,1943,1943,0,989,989,2021-07-12,0.45439663236669786,0.45914577530176415
2,Stark,Female,Female,2332,2332,0,1164,1164,2021-07-12,0.5453695042095417,0.5403899721448467
0,Macoupin,Male,Male,16147,16147,0,8110,8110,2021-07-12,0.4464567146846573,0.44861157207655716
1,Macoupin,Other,Other,1,<10,0,1,<10,2021-07-12,2.764951475101612e-05,5.531585352361987e-05
2,Macoupin,Unknown,Unknown,27,27,0,14,14,2021-07-12,0.0007465368982774352,0.0007744219493306782
3,Macoupin,Female,Female,19989,19989,0,9953,9953,2021-07-12,0.5526861503580612,0.5505586901205886
0,Coles,Unknown,Unknown,45,45,0,26,26,2021-07-12,0.0013682386208154701,0.0015316642120765831
1,Coles,Male,Male,14402,14402,0,7524,7524,2021-07-12,0.43789716926632005,0.443240058910162
2,Coles,Female,Female,18442,18442,0,9425,9425,2021-07-12,0.5607345921128645,0.5552282768777614
0,Washington,Unknown,Unknown,27,27,0,20,20,2021-07-12,0.002447869446962829,0.0034411562284927736
1,Washington,Female,Female,5978,5978,0,3115,3115,2021-07-12,0.541976427923844,0.5359600825877495
2,Washington,Male,Male,5025,5025,0,2677,2677,2021-07-12,0.4555757026291931,0.46059876118375775
0,Iroquois,Female,Female,10370,10370,0,5203,5203,2021-07-12,0.5538346507156591,0.5484925152856842
1,Iroquois,Unknown,Unknown,26,26,0,13,13,2021-07-12,0.0013885921811578722,0.0013704406493780308
2,Iroquois,Male,Male,8328,8328,0,4270,4270,2021-07-12,0.4447767571031831,0.4501370440649378
0,Saline,Female,Female,8342,8342,0,4331,4331,2021-07-12,0.565904619767994,0.5628330084470435
1,Saline,Unknown,Unknown,22,22,0,11,11,2021-07-12,0.0014924360626823146,0.0014294996751137103
2,Saline,Male,Male,6377,6377,0,3353,3353,2021-07-12,0.43260294416932366,0.4357374918778428
0,Hardin,Male,Male,838,838,0,414,414,2021-07-12,0.4238745574102175,0.42244897959183675
1,Hardin,Female,Female,1139,1139,0,566,566,2021-07-12,0.5761254425897825,0.5775510204081633
0,McDonough,Male,Male,9719,9719,0,5096,5096,2021-07-12,0.4496622559452207,0.453582554517134
1,McDonough,Unknown,Unknown,60,60,0,32,32,2021-07-12,0.0027759785324326827,0.0028482421005785494
2,McDonough,Female,Female,11831,11831,0,6105,6105,2021-07-12,0.5473767002868511,0.5433911882510013
0,Mercer,Female,Female,7084,7084,0,3539,3539,2021-07-12,0.5467314964883847,0.5443777880326104
1,Mercer,Unknown,Unknown,11,11,0,1,<10,2021-07-12,0.0008489619510689203,0.00015382248884786957
2,Mercer,Male,Male,5858,5858,0,2954,2954,2021-07-12,0.4521108281237941,0.45439163205660665
3,Mercer,Other,Other,1,<10,0,1,<10,2021-07-12,7.717835918808367e-05,0.00015382248884786957
0,Jasper,Male,Male,2708,2708,0,1361,1361,2021-07-12,0.44797353184449956,0.45125994694960214
1,Jasper,Unknown,Unknown,16,16,0,1,<10,2021-07-12,0.0026468155500413565,0.0003315649867374005
2,Jasper,Female,Female,3320,3320,0,1647,1647,2021-07-12,0.5492142266335814,0.5460875331564987
0,Henry,Other,Other,1,<10,0,1,<10,2021-07-12,2.3155116122907356e-05,4.625346901017576e-05
1,Henry,Male,Male,19335,19335,0,9742,9742,2021-07-12,0.44770417023641373,0.45060129509713226
2,Henry,Unknown,Unknown,67,67,0,27,27,2021-07-12,0.001551392780234793,0.0012488436632747456
3,Henry,Female,Female,23781,23781,0,11849,11849,2021-07-12,0.5506518165188599,0.5480573543015727
0,Clay,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00014068655036578504,0.0002717391304347826
1,Clay,Female,Female,3850,3850,0,1984,1984,2021-07-12,0.5416432189082724,0.5391304347826087
2,Clay,Male,Male,3253,3253,0,1693,1693,2021-07-12,0.4576533483398987,0.46005434782608695
0,Logan,Other,Other,1,<10,0,1,<10,2021-07-12,4.394831677946735e-05,8.380122349786307e-05
1,Logan,Female,Female,12699,12699,0,6618,6618,2021-07-12,0.5580996747824558,0.5545964971088578
2,Logan,Unknown,Unknown,124,124,0,61,61,2021-07-12,0.005449591280653951,0.005111874633369647
3,Logan,Male,Male,9928,9928,0,5253,5253,2021-07-12,0.4363188889865518,0.4402078270342747
