,county_name,gender,gender_display,administered_count,administered_count_display,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_display,report_date,administered_count_pct,persons_fully_vaccinated_pct
1,Vermilion,Male,Male,20686,20686,0,11153,11153,2021-07-12,0.4589138344129914,0.46136344833291965
2,Vermilion,Unknown,Unknown,164,164,0,77,77,2021-07-12,0.00363829976040465,0.003185240340862083
0,De Witt,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,8.438818565400843e-05,0.00016633399866932801
1,De Witt,Female,Female,6572,6572,0,3329,3329,2021-07-12,0.5545991561181435,0.553725881570193
2,De Witt,Male,Male,5274,5274,0,2679,2679,2021-07-12,0.4450632911392405,0.44560878243512975
0,Douglas,Female,Female,7630,7630,0,3767,3767,2021-07-12,0.5631827576025982,0.5589020771513353
1,Douglas,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,7.381163271331562e-05,0.0001483679525222552
2,Douglas,Male,Male,5916,5916,0,2972,2972,2021-07-12,0.4366696191319752,0.44094955489614246
0,Chicago,Male,Male,1302574,1302574,0,634527,634527,2021-07-12,0.46461759061757635,0.4658261841172143
1,Chicago,Other,Other,392,392,0,203,203,2021-07-12,0.0001398232234960086,0.00014902867076703515
2,Chicago,Female,Female,1484130,1484130,0,719489,719489,2021-07-12,0.5293771446100287,0.5281994546872086
3,Chicago,Unknown,Unknown,16444,16444,0,7935,7935,2021-07-12,0.005865441548898892,0.00582533252480997
0,Marion,Unknown,Unknown,22,22,0,13,13,2021-07-12,0.000962000962000962,0.0011173184357541898
1,Marion,Male,Male,10041,10041,0,5146,5146,2021-07-12,0.43906598452053,0.44228620541469704
2,Marion,Other,Other,1,<10,0,1,<10,2021-07-12,4.372731645458918e-05,8.594757198109153e-05
3,Marion,Female,Female,12802,12802,0,6474,6474,2021-07-12,0.5597971052516507,0.5564245810055866
0,Winnebago,Female,Female,130841,130841,0,64473,64473,2021-07-12,0.5421056774819044,0.5416351630626544
1,Winnebago,Other,Other,159,159,0,82,82,2021-07-12,0.0006587751753626371,0.0006888788077356049
2,Winnebago,Unknown,Unknown,2021,2021,0,998,998,2021-07-12,0.008373488235269747,0.008384159147806509
3,Winnebago,Male,Male,108332,108332,0,53479,53479,2021-07-12,0.44884548614707676,0.4492749970596636
0,Grundy,Unknown,Unknown,128,128,0,62,62,2021-07-12,0.00295789619633036,0.0029356060606060604
1,Grundy,Female,Female,23328,23328,0,11351,11351,2021-07-12,0.5390765817812081,0.5374526515151515
2,Grundy,Male,Male,19817,19817,0,9706,9706,2021-07-12,0.4579424134584277,0.45956439393939397
0,Jo Daviess,Unknown,Unknown,25,25,0,14,14,2021-07-12,0.001625487646293888,0.0016891891891891893
1,Jo Daviess,Female,Female,8285,8285,0,4429,4429,2021-07-12,0.5386866059817945,0.5343870656370656
2,Jo Daviess,Male,Male,7070,7070,0,3845,3845,2021-07-12,0.4596879063719116,0.4639237451737452
0,Lake,Unknown,Unknown,3044,3044,0,1485,1485,2021-07-12,0.004177800835285673,0.004191434232586496
1,Lake,Female,Female,387712,387712,0,188229,188229,2021-07-12,0.5321233631571218,0.5312791071821708
2,Lake,Male,Male,337763,337763,0,164531,164531,2021-07-12,0.4635698237610364,0.4643911553681406
3,Lake,Other,Other,49,49,0,23,23,2021-07-12,6.725106469415177e-05,6.491783659898276e-05
0,Franklin,Female,Female,12913,12913,0,6501,6501,2021-07-12,0.563935714909599,0.5601895734597157
1,Franklin,Unknown,Unknown,26,26,0,14,14,2021-07-12,0.001135470346755175,0.0012063765618267987
2,Franklin,Male,Male,9959,9959,0,5090,5090,2021-07-12,0.43492881474364575,0.4386040499784576
0,Will,Male,Male,319492,319492,0,155187,155187,2021-07-12,0.46084720116664335,0.461927936777247
1,Will,Other,Other,11,11,0,1,<10,2021-07-12,1.5866811102728947e-05,2.976589126519921e-06
2,Will,Female,Female,371349,371349,0,179623,179623,2021-07-12,0.5356476760170266,0.5346638686728877
3,Will,Unknown,Unknown,2400,2400,0,1131,1131,2021-07-12,0.003461849695140861,0.0033665223020940306
0,DeKalb,Unknown,Unknown,328,328,0,155,155,2021-07-12,0.003621028460400521,0.003511951965560213
1,DeKalb,Other,Other,1,<10,0,1,<10,2021-07-12,1.1039720915855247e-05,2.2657754616517504e-05
2,DeKalb,Female,Female,48709,48709,0,23723,23723,2021-07-12,0.5377337660903933,0.5375099127676447
3,DeKalb,Male,Male,41543,41543,0,20256,20256,2021-07-12,0.45862312600737454,0.4589554775121785
0,White,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00012431626056688214,0.0002378686964795433
1,White,Female,Female,4599,4599,0,2377,2377,2021-07-12,0.571730482347091,0.5654138915318744
2,White,Male,Male,3443,3443,0,1826,1826,2021-07-12,0.4280208851317752,0.43434823977164605
0,Kane,Female,Female,281459,281459,0,137295,137295,2021-07-12,0.5313033268397288,0.5307522808102675
1,Kane,Male,Male,244924,244924,0,119770,119770,2021-07-12,0.46233709358341263,0.46300448430493274
2,Kane,Other,Other,10,10,0,1,<10,2021-07-12,1.887675742611637e-05,3.865780114427092e-06
3,Kane,Unknown,Unknown,3335,3335,0,1596,1596,2021-07-12,0.0062953986016098095,0.006169785062625638
0,Carroll,Male,Male,4434,4434,0,2362,2362,2021-07-12,0.45421020282728947,0.45686653771760155
1,Carroll,Unknown,Unknown,10,10,0,1,<10,2021-07-12,0.001024380249948781,0.00019342359767891682
2,Carroll,Female,Female,5318,5318,0,2803,2803,2021-07-12,0.5447654169227617,0.5421663442940039
0,McHenry,Female,Female,165403,165403,0,80245,80245,2021-07-12,0.5349333609311682,0.5335864563661994
1,McHenry,Other,Other,10,10,0,1,<10,2021-07-12,3.234121273079498e-05,6.649466712769636e-06
2,McHenry,Male,Male,142814,142814,0,69670,69670,2021-07-12,0.46187779549357544,0.46326834587866056
3,McHenry,Unknown,Unknown,951,951,0,457,457,2021-07-12,0.0030756493306986024,0.0030388062877357235
0,Edgar,Unknown,Unknown,14,14,0,1,<10,2021-07-12,0.0013175230566534915,0.00018053800324968405
1,Edgar,Male,Male,4608,4608,0,2410,2410,2021-07-12,0.43365330321852064,0.4350965878317386
2,Edgar,Female,Female,6004,6004,0,3122,3122,2021-07-12,0.5650291737248259,0.5636396461455137
0,Clark,Unknown,Unknown,14,14,0,1,<10,2021-07-12,0.0014145700717389108,0.00020048115477145148
1,Clark,Male,Male,4447,4447,0,2246,2246,2021-07-12,0.449328079215924,0.45028067361668
2,Clark,Female,Female,5436,5436,0,2734,2734,2021-07-12,0.5492573507123371,0.5481154771451484
0,Edwards,Female,Female,1784,1784,0,931,931,2021-07-12,0.5595984943538268,0.5588235294117647
1,Edwards,Male,Male,1397,1397,0,731,731,2021-07-12,0.43820577164366376,0.4387755102040816
2,Edwards,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.0003136762860727729,0.0006002400960384153
0,Boone,Unknown,Unknown,176,176,0,89,89,2021-07-12,0.0036957708622065433,0.0038073237508555783
1,Boone,Female,Female,25698,25698,0,12540,12540,2021-07-12,0.5396245432783168,0.5364476386036962
2,Boone,Male,Male,21744,21744,0,10745,10745,2021-07-12,0.45659569106715386,0.4596594798083504
3,Boone,Other,Other,1,<10,0,1,<10,2021-07-12,2.0998698080718995e-05,4.277891854893908e-05
0,Pope,Female,Female,1069,1069,0,534,534,2021-07-12,0.5445746306673459,0.5437881873727087
1,Pope,Male,Male,894,894,0,448,448,2021-07-12,0.4554253693326541,0.45621181262729127
0,Johnson,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00012217470983506414,0.00024324981756263683
1,Johnson,Female,Female,3470,3470,0,1751,1751,2021-07-12,0.4239462431276726,0.4259304305521771
2,Johnson,Other,Other,1,<10,0,1,<10,2021-07-12,0.00012217470983506414,0.00024324981756263683
3,Johnson,Male,Male,4708,4708,0,2356,2356,2021-07-12,0.575198533903482,0.5730965701775723
0,Henderson,Male,Male,1147,1147,0,608,608,2021-07-12,0.42293510324483774,0.428169014084507
1,Henderson,Female,Female,1565,1565,0,812,812,2021-07-12,0.5770648967551623,0.571830985915493
0,Shelby,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,9.012256669069935e-05,0.0001596169193934557
1,Shelby,Male,Male,4801,4801,0,2765,2765,2021-07-12,0.4326784426820476,0.441340782122905
2,Shelby,Female,Female,6287,6287,0,3495,3495,2021-07-12,0.5666005767844268,0.5578611332801277
0,Fayette,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00010242753252074157,0.00019554165037152912
1,Fayette,Male,Male,4356,4356,0,2306,2306,2021-07-12,0.4461743316603503,0.4509190457567462
2,Fayette,Female,Female,5401,5401,0,2805,2805,2021-07-12,0.5532111031445253,0.5484943292921393
0,Pulaski,Male,Male,1063,1063,0,552,552,2021-07-12,0.4443979933110368,0.45171849427168576
1,Pulaski,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.0004180602006688963,0.0008183306055646482
2,Pulaski,Female,Female,1327,1327,0,669,669,2021-07-12,0.5547658862876255,0.5474631751227496
0,Massac,Male,Male,3499,3499,0,1724,1724,2021-07-12,0.44738524485359926,0.44954367666232076
1,Massac,Unknown,Unknown,1,<10,0,1,<10,2021-07-12,0.00012786088735455825,0.0002607561929595828
2,Massac,Female,Female,4320,4320,0,2110,2110,2021-07-12,0.5523590333716916,0.5501955671447197
0,Alexander,Female,Female,1080,1080,0,530,530,2021-07-12,0.594059405940594,0.5902004454342984
1,Alexander,Male,Male,738,738,0,368,368,2021-07-12,0.40594059405940597,0.40979955456570155
