date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2021-05-15,Warren,4,18171,13,17,2,32,19,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Warrick,10,18173,90,119,3,212,122,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Washington,8,18175,32,25,6,63,31,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Wayne,6,18177,42,55,8,105,63,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Wells,3,18179,23,12,3,38,15,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,White,4,18181,34,137,15,186,152,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Whitley,3,18183,24,31,7,62,38,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Ohio,9,18115,1,9,0,10,9,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Starke,2,18149,13,12,2,27,14,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Tippecanoe,4,18157,333,837,33,1203,870,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Switzerland,9,18155,5,2,1,8,3,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Wabash,3,18169,43,60,6,109,66,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Sullivan,7,18153,6,133,0,139,133,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Orange,8,18117,13,4,4,21,8,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Out of State,Out of State,Out of State,339,435,68,842,503,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Shelby,5,18145,26,32,4,62,36,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Owen,7,18119,27,24,2,53,26,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Parke,7,18121,6,5,2,13,7,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Perry,10,18123,5,16,0,21,16,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Pike,10,18125,4,3,0,7,3,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Porter,1,18127,341,320,20,681,340,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Spencer,10,18147,15,6,1,22,7,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Pulaski,2,18131,5,9,2,16,11,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Posey,10,18129,51,68,0,119,68,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Scott,9,18143,24,66,13,103,79,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Rush,6,18139,22,10,8,40,18,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Steuben,3,18151,29,35,0,64,35,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Randolph,6,18135,15,34,1,50,35,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Putnam,7,18133,15,23,6,44,29,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-15,Ripley,9,18137,11,52,4,67,56,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Huntington,3,18069,29,6,1,36,7,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Fayette,6,18041,6,2,0,8,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Floyd,9,18043,67,56,2,125,58,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Fountain,4,18045,5,0,0,5,0,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Franklin,9,18047,5,1,1,7,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Fulton,2,18049,2,2,0,4,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Gibson,10,18051,9,8,1,18,9,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Greene,7,18055,13,1,0,14,1,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Hamilton,5,18057,744,832,12,1588,844,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Hancock,5,18059,58,63,2,123,65,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Elkhart,2,18039,118,31,18,167,49,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Harrison,9,18061,23,11,2,36,13,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Hendricks,5,18063,201,293,12,506,305,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Henry,6,18065,23,17,0,40,17,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Grant,6,18053,18,6,4,28,10,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Howard,6,18067,51,27,9,87,36,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Bartholomew,8,18005,54,222,9,285,231,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Delaware,6,18035,59,25,3,87,28,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Adams,3,18001,19,6,2,27,8,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Allen,3,18003,303,167,12,482,179,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Benton,4,18007,9,2,0,11,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Blackford,6,18009,2,1,0,3,1,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Boone,5,18011,144,117,4,265,121,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Brown,8,18013,1,12,0,13,12,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Carroll,4,18015,4,13,1,18,14,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Dubois,10,18037,30,13,2,45,15,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Cass,4,18017,10,7,0,17,7,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Clay,7,18021,16,2,2,20,4,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Clinton,4,18023,12,12,6,30,18,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Crawford,10,18025,2,1,0,3,1,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Daviess,10,18027,3,2,1,6,3,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,De Kalb,3,18033,18,10,9,37,19,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Dearborn,9,18029,14,11,6,31,17,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Decatur,9,18031,10,4,2,16,6,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Clark,9,18019,91,36,8,135,44,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Jasper,1,18073,17,17,2,36,19,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Jackson,8,18071,13,8,4,25,12,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Jefferson,9,18077,8,5,0,13,5,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Ripley,9,18137,2,0,0,2,0,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Rush,6,18139,7,17,0,24,17,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Scott,9,18143,6,8,1,15,9,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Shelby,5,18145,13,23,3,39,26,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Spencer,10,18147,5,2,0,7,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,St. Joseph,2,18141,224,53,5,282,58,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Starke,2,18149,14,5,0,19,5,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Steuben,3,18151,13,2,1,16,3,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Sullivan,7,18153,6,0,0,6,0,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Switzerland,9,18155,2,1,2,5,3,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Tippecanoe,4,18157,210,300,7,517,307,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Tipton,6,18159,12,3,0,15,3,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Union,6,18161,5,3,0,8,3,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Unknown,Unknown,Unknown,12,9,2,23,11,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Vanderburgh,10,18163,156,66,1,223,67,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Vermillion,7,18165,6,2,0,8,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Vigo,7,18167,47,13,6,66,19,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Wabash,3,18169,15,9,5,29,14,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Warren,4,18171,2,0,0,2,0,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Warrick,10,18173,47,80,0,127,80,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Washington,8,18175,12,10,1,23,11,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Wayne,6,18177,14,12,2,28,14,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Wells,3,18179,14,3,4,21,7,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,White,4,18181,20,10,3,33,13,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Whitley,3,18183,11,5,5,21,10,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Randolph,6,18135,2,3,1,6,4,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Jay,6,18075,9,2,1,12,3,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Putnam,7,18133,10,11,10,31,21,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Posey,10,18129,13,17,0,30,17,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Jennings,9,18079,8,10,5,23,15,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Johnson,5,18081,145,259,21,425,280,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Knox,10,18083,2,4,1,7,5,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Kosciusko,2,18085,31,11,12,54,23,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,La Porte,1,18091,118,64,8,190,72,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Lake,1,18089,449,296,31,776,327,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Lawrence,8,18093,39,8,7,54,15,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Madison,6,18095,102,141,7,250,148,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Marion,5,18097,1032,2310,36,3378,2346,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Marshall,2,18099,14,14,1,29,15,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Martin,10,18101,7,0,0,7,0,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Miami,3,18103,22,2,0,24,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Monroe,8,18105,87,116,15,218,131,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Montgomery,4,18107,24,13,5,42,18,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Morgan,5,18109,54,64,6,124,70,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Newton,1,18111,8,2,0,10,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Noble,3,18113,19,2,2,23,4,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Ohio,9,18115,5,2,0,7,2,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Orange,8,18117,12,0,1,13,1,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Out of State,Out of State,Out of State,229,233,32,494,265,0,1,0,0,1,0,0,2022-01-11 05:00:00
2021-05-16,Owen,7,18119,9,11,2,22,13,0,0,0,0,0,0,0,2022-01-11 05:00:00
2021-05-16,Parke,7,18121,3,0,1,4,1,0,0,0,0,0,0,0,2022-01-11 05:00:00
