agegroup,personsfullyvaccinated,percentpersonsfullyvaccinated,personsvaccinatedonedose,percentpersonsvaccinatedonedose,report_date
65+,1533889,76.97,1617377,81.15,2021-07-08
65+,1535209,77.03,1618485,81.21,2021-07-09
18+,5736786,58.04,6141442,62.14,2021-07-09
05+,6061647,50.6,6531266,54.52,2021-07-09
12+,6061647,55.73,6531266,60.05,2021-07-09
05+,6072220,50.68,6539656,54.59,2021-07-10
12+,6072220,55.83,6539656,60.12,2021-07-10
18+,5744977,58.13,6147850,62.2,2021-07-10
65+,1535911,77.07,1619065,81.24,2021-07-10
65+,1536378,77.09,1619499,81.26,2021-07-11
05+,6079438,50.74,6546790,54.65,2021-07-11
12+,6079438,55.89,6546790,60.19,2021-07-11
18+,5750543,58.18,6153158,62.25,2021-07-11
65+,1537510,77.15,1620442,81.31,2021-07-12
18+,5761045,58.29,6162495,62.35,2021-07-12
05+,6092873,50.86,6558939,54.75,2021-07-12
12+,6092873,56.02,6558939,60.3,2021-07-12
05+,6103958,50.95,6570190,54.84,2021-07-13
12+,6103958,56.12,6570190,60.4,2021-07-13
18+,5769705,58.38,6170855,62.43,2021-07-13
65+,1538695,77.21,1621508,81.36,2021-07-13
05+,6114584,51.04,6580790,54.93,2021-07-14
12+,6114584,56.22,6580790,60.5,2021-07-14
18+,5777874,58.46,6178687,62.51,2021-07-14
65+,1539916,77.27,1622566,81.41,2021-07-14
12+,6125132,56.31,6591190,60.6,2021-07-15
65+,1541034,77.32,1623623,81.47,2021-07-15
05+,6125132,51.13,6591190,55.02,2021-07-15
18+,5786011,58.54,6186522,62.59,2021-07-15
05+,6135832,51.22,6601848,55.11,2021-07-16
12+,6135832,56.41,6601848,60.7,2021-07-16
18+,5794193,58.62,6194569,62.67,2021-07-16
65+,1542131,77.38,1624609,81.52,2021-07-16
18+,5801073,58.69,6201514,62.74,2021-07-17
05+,6144740,51.29,6611126,55.18,2021-07-17
12+,6144740,56.49,6611126,60.78,2021-07-17
65+,1542757,77.41,1625336,81.55,2021-07-17
65+,1543116,77.43,1625722,81.57,2021-07-18
18+,5805824,58.74,6206084,62.79,2021-07-18
05+,6150795,51.34,6617068,55.23,2021-07-18
12+,6150795,56.55,6617068,60.84,2021-07-18
05+,6159780,51.42,6626457,55.31,2021-07-19
12+,6159780,56.63,6626457,60.92,2021-07-19
18+,5812849,58.81,6213139,62.86,2021-07-19
65+,1543949,77.47,1626587,81.62,2021-07-19
65+,1545047,77.53,1627836,81.68,2021-07-20
05+,6171741,51.52,6639732,55.42,2021-07-20
12+,6171741,56.74,6639732,61.04,2021-07-20
18+,5822293,58.91,6223123,62.96,2021-07-20
65+,1546233,77.58,1629099,81.74,2021-07-21
18+,5831047,59.0,6233009,63.06,2021-07-21
05+,6182933,51.61,6652731,55.53,2021-07-21
12+,6182933,56.84,6652731,61.16,2021-07-21
18+,5837318,59.06,6240970,63.14,2021-07-22
05+,6191036,51.68,6663012,55.62,2021-07-22
12+,6191036,56.92,6663012,61.26,2021-07-22
65+,1547178,77.63,1630344,81.81,2021-07-22
65+,1548234,77.69,1631600,81.87,2021-07-23
18+,5843924,59.13,6250055,63.24,2021-07-23
12+,6199321,56.99,6674843,61.37,2021-07-23
05+,6199321,51.75,6674843,55.71,2021-07-23
05+,6204498,51.79,6682799,55.78,2021-07-24
12+,6204498,57.04,6682799,61.44,2021-07-24
18+,5848097,59.17,6256235,63.3,2021-07-24
65+,1548642,77.71,1632155,81.9,2021-07-24
18+,5850529,59.19,6260225,63.34,2021-07-25
65+,1548848,77.72,1632463,81.91,2021-07-25
05+,6207499,51.81,6687847,55.82,2021-07-25
12+,6207499,57.07,6687847,61.49,2021-07-25
05+,6212480,51.86,6696716,55.9,2021-07-26
12+,6212480,57.12,6696716,61.57,2021-07-26
18+,5854636,59.23,6267010,63.41,2021-07-26
65+,1549422,77.74,1633333,81.96,2021-07-26
65+,1550543,77.8,1634756,82.03,2021-07-27
05+,6223851,51.95,6712219,56.03,2021-07-27
12+,6223851,57.22,6712219,61.71,2021-07-27
18+,5863624,59.33,6278911,63.53,2021-07-27
18+,5878532,59.48,6300306,63.74,2021-07-28
65+,1552149,77.88,1636790,82.13,2021-07-28
05+,6242965,52.11,6740462,56.26,2021-07-28
12+,6242965,57.4,6740462,61.97,2021-07-28
65+,1553307,77.94,1638194,82.2,2021-07-29
18+,5886432,59.56,6311494,63.86,2021-07-29
12+,6252843,57.49,6754932,62.1,2021-07-29
05+,6252843,52.19,6754932,56.38,2021-07-29
05+,6274413,52.37,6778056,56.58,2021-07-30
12+,6274413,57.68,6778056,62.32,2021-07-30
18+,5905397,59.75,6330392,64.05,2021-07-30
65+,1559353,78.24,1641031,82.34,2021-07-30
18+,5911536,59.81,6340221,64.15,2021-07-31
65+,1559925,78.27,1641805,82.38,2021-07-31
05+,6282243,52.44,6790682,56.68,2021-07-31
12+,6282243,57.76,6790682,62.43,2021-07-31
05+,6288119,52.49,6798433,56.75,2021-08-01
12+,6288119,57.81,6798433,62.5,2021-08-01
18+,5915978,59.86,6346378,64.21,2021-08-01
65+,1560257,78.29,1642237,82.4,2021-08-01
65+,1560914,78.32,1643244,82.45,2021-08-02
05+,6296071,52.55,6810113,56.84,2021-08-02
12+,6296071,57.88,6810113,62.61,2021-08-02
18+,5921912,59.92,6355546,64.3,2021-08-02
65+,1561903,78.37,1644662,82.52,2021-08-03
18+,5930013,60.0,6368233,64.43,2021-08-03
05+,6306861,52.64,6826161,56.98,2021-08-03
12+,6306861,57.98,6826161,62.76,2021-08-03
05+,6316773,52.73,6841312,57.1,2021-08-04
12+,6316773,58.07,6841312,62.9,2021-08-04
18+,5937322,60.07,6380022,64.55,2021-08-04
65+,1562787,78.42,1645931,82.59,2021-08-04
65+,1563850,78.47,1647325,82.66,2021-08-05
05+,6327050,52.81,6856970,57.23,2021-08-05
12+,6327050,58.17,6856970,63.04,2021-08-05
18+,5945121,60.15,6392315,64.67,2021-08-05
65+,1565392,78.55,1648671,82.72,2021-08-06
18+,5953704,60.24,6404498,64.8,2021-08-06
05+,6338018,52.9,6872298,57.36,2021-08-06
12+,6338018,58.27,6872298,63.18,2021-08-06
65+,1569958,78.78,1650687,82.83,2021-08-07
05+,6355546,53.05,6891967,57.53,2021-08-07
12+,6355546,58.43,6891967,63.36,2021-08-07
18+,5968927,60.39,6421192,64.97,2021-08-07
12+,6362398,58.49,6901402,63.45,2021-08-08
18+,5973943,60.44,6428454,65.04,2021-08-08
05+,6362398,53.11,6901402,57.61,2021-08-08
65+,1570355,78.8,1651184,82.85,2021-08-08
65+,1571043,78.83,1652007,82.89,2021-08-09
18+,5979667,60.5,6436112,65.12,2021-08-09
12+,6370107,58.56,6911006,63.54,2021-08-09
05+,6370107,53.17,6911006,57.69,2021-08-09
05+,6377443,53.23,6920595,57.77,2021-08-10
12+,6377443,58.63,6920595,63.63,2021-08-10
18+,5985217,60.56,6443543,65.19,2021-08-10
65+,1571990,78.88,1652991,82.94,2021-08-10
18+,6008683,60.79,6468204,65.44,2021-08-11
65+,1577952,79.18,1656068,83.1,2021-08-11
05+,6403991,53.45,6948675,58.0,2021-08-11
12+,6403991,58.88,6948675,63.88,2021-08-11
05+,6427345,53.65,6973456,58.21,2021-08-12
12+,6427345,59.09,6973456,64.11,2021-08-12
18+,6029068,61.0,6489770,65.66,2021-08-12
65+,1582717,79.42,1658643,83.23,2021-08-12
65+,1584816,79.52,1660334,83.31,2021-08-13
05+,6448405,53.82,6995659,58.39,2021-08-13
12+,6448405,59.28,6995659,64.32,2021-08-13
18+,6044423,61.15,6506808,65.83,2021-08-13
18+,6069128,61.4,6533300,66.1,2021-08-14
65+,1588732,79.72,1662474,83.42,2021-08-14
05+,6476071,54.06,7025124,58.64,2021-08-14
12+,6476071,59.54,7025124,64.59,2021-08-14
05+,6495057,54.21,7044350,58.8,2021-08-15
12+,6495057,59.71,7044350,64.76,2021-08-15
18+,6086048,61.58,6550398,66.27,2021-08-15
65+,1590964,79.83,1663963,83.49,2021-08-15
05+,6504198,54.29,7053597,58.88,2021-08-16
12+,6504198,59.8,7053597,64.85,2021-08-16
18+,6092813,61.64,6557711,66.35,2021-08-16
65+,1591733,79.87,1664794,83.53,2021-08-16
65+,1592914,79.93,1666058,83.6,2021-08-17
18+,6102606,61.74,6568044,66.45,2021-08-17
12+,6517172,59.92,7066340,64.97,2021-08-17
05+,6517172,54.4,7066340,58.98,2021-08-17
05+,6529445,54.5,7080051,59.1,2021-08-18
12+,6529445,60.03,7080051,65.09,2021-08-18
18+,6112000,61.84,6578717,66.56,2021-08-18
65+,1594090,79.99,1667359,83.66,2021-08-18
65+,1595232,80.04,1668634,83.73,2021-08-19
05+,6541061,54.6,7091858,59.2,2021-08-19
12+,6541061,60.14,7091858,65.2,2021-08-19
18+,6121056,61.93,6588473,66.66,2021-08-19
18+,6129803,62.02,6598094,66.76,2021-08-20
65+,1596339,80.1,1669851,83.79,2021-08-20
05+,6552315,54.69,7103358,59.29,2021-08-20
12+,6552315,60.24,7103358,65.31,2021-08-20
65+,1597081,80.14,1670617,83.83,2021-08-21
18+,6138330,62.1,6606142,66.84,2021-08-21
12+,6563841,60.35,7113498,65.4,2021-08-21
05+,6563841,54.79,7113498,59.38,2021-08-21
05+,6571517,54.85,7120295,59.43,2021-08-22
12+,6571517,60.42,7120295,65.46,2021-08-22
18+,6143995,62.16,6611498,66.89,2021-08-22
65+,1597491,80.16,1671037,83.85,2021-08-22
18+,6151347,62.24,6618644,66.96,2021-08-23
65+,1598335,80.2,1671824,83.89,2021-08-23
05+,6580857,54.93,7128984,59.51,2021-08-23
12+,6580857,60.5,7128984,65.54,2021-08-23
05+,6593798,55.04,7141422,59.61,2021-08-24
12+,6593798,60.62,7141422,65.66,2021-08-24
18+,6161519,62.34,6629327,67.07,2021-08-24
65+,1599575,80.26,1673095,83.95,2021-08-24
65+,1600822,80.32,1674264,84.01,2021-08-25
05+,6606196,55.14,7153200,59.71,2021-08-25
12+,6606196,60.74,7153200,65.76,2021-08-25
18+,6171220,62.44,6639397,67.17,2021-08-25
18+,6182028,62.55,6665689,67.44,2021-08-26
65+,1602706,80.42,1677959,84.19,2021-08-26
05+,6619285,55.25,7181600,59.94,2021-08-26
12+,6619285,60.86,7181600,66.03,2021-08-26
05+,6634116,55.37,7201526,60.11,2021-08-27
12+,6634116,60.99,7201526,66.21,2021-08-27
18+,6194230,62.67,6683105,67.62,2021-08-27
65+,1604953,80.53,1679484,84.27,2021-08-27
05+,6655777,55.56,7227676,60.33,2021-08-28
12+,6655777,61.19,7227676,66.45,2021-08-28
18+,6212700,62.86,6705602,67.84,2021-08-28
65+,1607941,80.68,1681167,84.36,2021-08-28
65+,1610140,80.79,1682644,84.43,2021-08-29
18+,6243295,63.17,6721853,68.01,2021-08-29
12+,6690859,61.51,7249331,66.65,2021-08-29
05+,6690859,55.85,7249331,60.51,2021-08-29
05+,6707108,55.98,7261912,60.61,2021-08-30
12+,6707108,61.66,7261912,66.76,2021-08-30
18+,6255258,63.29,6732160,68.11,2021-08-30
65+,1611440,80.86,1683597,84.48,2021-08-30
65+,1612642,80.92,1684778,84.54,2021-08-31
05+,6719951,56.09,7274970,60.72,2021-08-31
12+,6719951,61.78,7274970,66.88,2021-08-31
18+,6265685,63.39,6743893,68.23,2021-08-31
18+,6275256,63.49,6755733,68.35,2021-09-01
65+,1613776,80.97,1685956,84.6,2021-09-01
05+,6731902,56.19,7288153,60.83,2021-09-01
12+,6731902,61.89,7288153,67.0,2021-09-01
05+,6742919,56.28,7301465,60.94,2021-09-02
12+,6742919,61.99,7301465,67.13,2021-09-02
18+,6284392,63.58,6767782,68.47,2021-09-02
65+,1614859,81.03,1687077,84.65,2021-09-02
05+,6754080,56.38,7314970,61.06,2021-09-03
12+,6754080,62.09,7314970,67.25,2021-09-03
18+,6293460,63.67,6779878,68.6,2021-09-03
65+,1615878,81.08,1688181,84.71,2021-09-03
65+,1616470,81.11,1688844,84.74,2021-09-04
18+,6301316,63.75,6790068,68.7,2021-09-04
05+,6764516,56.46,7326915,61.16,2021-09-04
12+,6764516,62.19,7326915,67.36,2021-09-04
05+,6771701,56.52,7334819,61.22,2021-09-05
12+,6771701,62.26,7334819,67.43,2021-09-05
18+,6306586,63.81,6796597,68.76,2021-09-05
65+,1616809,81.13,1689220,84.76,2021-09-05
05+,6776750,56.57,7340475,61.27,2021-09-06
12+,6776750,62.3,7340475,67.49,2021-09-06
18+,6310318,63.84,6801356,68.81,2021-09-06
65+,1617077,81.14,1689512,84.77,2021-09-06
65+,1617721,81.17,1690061,84.8,2021-09-07
18+,6315314,63.9,6806240,68.86,2021-09-07
12+,6782916,62.36,7345956,67.54,2021-09-07
05+,6782916,56.62,7345956,61.32,2021-09-07
05+,6795437,56.72,7356749,61.41,2021-09-08
12+,6795437,62.47,7356749,67.64,2021-09-08
18+,6325485,64.0,6815826,68.96,2021-09-08
65+,1618767,81.22,1691024,84.85,2021-09-08
05+,6806399,56.81,7367245,61.49,2021-09-09
12+,6806399,62.58,7367245,67.73,2021-09-09
18+,6334618,64.09,6825205,69.05,2021-09-09
65+,1619799,81.28,1691961,84.9,2021-09-09
18+,6343358,64.18,6834866,69.15,2021-09-10
65+,1620713,81.32,1692908,84.94,2021-09-10
12+,6816845,62.67,7378041,67.83,2021-09-10
05+,6816845,56.9,7378041,61.58,2021-09-10
05+,6826487,56.98,7386977,61.66,2021-09-11
12+,6826487,62.76,7386977,67.91,2021-09-11
18+,6350733,64.25,6842500,69.23,2021-09-11
65+,1621317,81.35,1693515,84.97,2021-09-11
05+,6833666,57.04,7393461,61.71,2021-09-12
12+,6833666,62.83,7393461,67.97,2021-09-12
18+,6356191,64.31,6847814,69.28,2021-09-12
65+,1621699,81.37,1693842,84.99,2021-09-12
65+,1622335,81.4,1694527,85.03,2021-09-13
18+,6362668,64.37,6854282,69.35,2021-09-13
12+,6841616,62.9,7400975,68.04,2021-09-13
05+,6841616,57.11,7400975,61.78,2021-09-13
05+,6852320,57.2,7410730,61.86,2021-09-14
12+,6852320,63.0,7410730,68.13,2021-09-14
18+,6371818,64.47,6863013,69.44,2021-09-14
65+,1623369,81.46,1695421,85.07,2021-09-14
18+,6380561,64.56,6871414,69.52,2021-09-15
65+,1624366,81.51,1696306,85.11,2021-09-15
05+,6862442,57.28,7420050,61.93,2021-09-15
12+,6862442,63.09,7420050,68.22,2021-09-15
05+,6872685,57.37,7429023,62.01,2021-09-16
12+,6872685,63.19,7429023,68.3,2021-09-16
18+,6389422,64.65,6879345,69.6,2021-09-16
65+,1625268,81.55,1697067,85.15,2021-09-16
65+,1626161,81.6,1697834,85.19,2021-09-17
05+,6883316,57.45,7437960,62.08,2021-09-17
12+,6883316,63.28,7437960,68.38,2021-09-17
18+,6398533,64.74,6887251,69.68,2021-09-17
18+,6407186,64.83,6893819,69.75,2021-09-18
65+,1626776,81.63,1698337,85.22,2021-09-18
05+,6893799,57.54,7445649,62.15,2021-09-18
12+,6893799,63.38,7445649,68.45,2021-09-18
05+,6901433,57.61,7450949,62.19,2021-09-19
12+,6901433,63.45,7450949,68.5,2021-09-19
18+,6413229,64.89,6898238,69.79,2021-09-19
65+,1627150,81.64,1698669,85.23,2021-09-19
05+,6908464,57.66,7456459,62.24,2021-09-20
12+,6908464,63.51,7456459,68.55,2021-09-20
18+,6419257,64.95,6903084,69.84,2021-09-20
65+,1627761,81.68,1699208,85.26,2021-09-20
65+,1628684,81.72,1700096,85.31,2021-09-21
18+,6429577,65.05,6911153,69.92,2021-09-21
12+,6920456,63.62,7465558,68.64,2021-09-21
05+,6920456,57.76,7465558,62.31,2021-09-21
05+,6929131,57.84,7472283,62.37,2021-09-22
12+,6929131,63.7,7472283,68.7,2021-09-22
18+,6437146,65.13,6917072,69.98,2021-09-22
65+,1629493,81.76,1700825,85.34,2021-09-22
65+,1630533,81.81,1701778,85.39,2021-09-23
05+,6941791,57.94,7481316,62.45,2021-09-23
12+,6941791,63.82,7481316,68.78,2021-09-23
18+,6448418,65.24,6925153,70.07,2021-09-23
18+,6459202,65.35,6932574,70.14,2021-09-24
65+,1631485,81.86,1702693,85.44,2021-09-24
05+,6953902,58.04,7489599,62.52,2021-09-24
12+,6953902,63.93,7489599,68.86,2021-09-24
05+,6963660,58.13,7496006,62.57,2021-09-25
12+,6963660,64.02,7496006,68.92,2021-09-25
18+,6467542,65.44,6938098,70.2,2021-09-25
65+,1632066,81.89,1703535,85.48,2021-09-25
05+,6970053,58.18,7500257,62.6,2021-09-26
12+,6970053,64.08,7500257,68.95,2021-09-26
18+,6472858,65.49,6941799,70.23,2021-09-26
65+,1632451,81.91,1704184,85.51,2021-09-26
65+,1633110,81.94,1705272,85.56,2021-09-27
18+,6479827,65.56,6947618,70.29,2021-09-27
05+,6978071,58.25,7506763,62.66,2021-09-27
12+,6978071,64.15,7506763,69.01,2021-09-27
05+,6987437,58.32,7514355,62.72,2021-09-28
12+,6987437,64.24,7514355,69.08,2021-09-28
18+,6487686,65.64,6953760,70.36,2021-09-28
65+,1634207,82.0,1706419,85.62,2021-09-28
05+,6994180,58.38,7520938,62.78,2021-09-29
12+,6994180,64.3,7520938,69.15,2021-09-29
18+,6493638,65.7,6959695,70.42,2021-09-29
65+,1634996,82.04,1707751,85.69,2021-09-29
65+,1635578,82.07,1708461,85.72,2021-09-30
18+,6497779,65.74,6963324,70.45,2021-09-30
12+,6998862,64.35,7525002,69.18,2021-09-30
05+,6998862,58.42,7525002,62.81,2021-09-30
05+,7010519,58.52,7533863,62.88,2021-10-01
12+,7010519,64.45,7533863,69.26,2021-10-01
18+,6508146,65.85,6971266,70.53,2021-10-01
65+,1636620,82.12,1710143,85.81,2021-10-01
65+,1637767,82.18,1712137,85.91,2021-10-02
05+,7025843,58.64,7546016,62.99,2021-10-02
12+,7025843,64.59,7546016,69.38,2021-10-02
18+,6521603,65.98,6982079,70.64,2021-10-02
65+,1638064,82.19,1712684,85.94,2021-10-03
18+,6525994,66.03,6985642,70.68,2021-10-03
12+,7031151,64.64,7550113,69.41,2021-10-03
05+,7031151,58.69,7550113,63.02,2021-10-03
65+,1639106,82.24,1713741,85.99,2021-10-04
05+,7040974,58.77,7558206,63.09,2021-10-04
12+,7040974,64.73,7558206,69.49,2021-10-04
18+,6534870,66.12,6993093,70.75,2021-10-04
18+,6539735,66.17,6997824,70.8,2021-10-05
65+,1639887,82.28,1714713,86.04,2021-10-05
05+,7046509,58.82,7563512,63.13,2021-10-05
12+,7046509,64.78,7563512,69.54,2021-10-05
65+,1641059,82.34,1716546,86.13,2021-10-06
18+,6549997,66.27,7006918,70.89,2021-10-06
05+,7058025,58.91,7573548,63.22,2021-10-06
12+,7058025,64.89,7573548,69.63,2021-10-06
05+,7065866,58.98,7580314,63.27,2021-10-07
12+,7065866,64.96,7580314,69.69,2021-10-07
18+,6556987,66.34,7013091,70.96,2021-10-07
65+,1641911,82.39,1717689,86.19,2021-10-07
05+,7073543,59.04,7586918,63.33,2021-10-08
12+,7073543,65.03,7586918,69.75,2021-10-08
18+,6563829,66.41,7019008,71.02,2021-10-08
65+,1642661,82.42,1718709,86.24,2021-10-08
65+,1643093,82.44,1719333,86.27,2021-10-09
18+,6568470,66.46,7022928,71.05,2021-10-09
05+,7078964,59.09,7591390,63.36,2021-10-09
12+,7078964,65.08,7591390,69.79,2021-10-09
05+,7082907,59.12,7594450,63.39,2021-10-10
12+,7082907,65.12,7594450,69.82,2021-10-10
18+,6571752,66.49,7025569,71.08,2021-10-10
65+,1643342,82.46,1719707,86.29,2021-10-10
65+,1643910,82.49,1720371,86.32,2021-10-11
05+,7088221,59.16,7598756,63.43,2021-10-11
12+,7088221,65.17,7598756,69.86,2021-10-11
18+,6576322,66.54,7029300,71.12,2021-10-11
65+,1644673,82.52,1721463,86.38,2021-10-12
18+,6583315,66.61,7035617,71.18,2021-10-12
05+,7096153,59.23,7605836,63.49,2021-10-12
12+,7096153,65.24,7605836,69.93,2021-10-12
05+,7104754,59.3,7613483,63.55,2021-10-13
12+,7104754,65.32,7613483,70.0,2021-10-13
18+,6590947,66.68,7042594,71.25,2021-10-13
65+,1645528,82.57,1722725,86.44,2021-10-13
05+,7111004,59.36,7619556,63.6,2021-10-14
12+,7111004,65.38,7619556,70.05,2021-10-14
18+,6596517,66.74,7048022,71.31,2021-10-14
65+,1646234,82.6,1723689,86.49,2021-10-14
12+,7121508,65.47,7628856,70.14,2021-10-15
65+,1647251,82.65,1724966,86.55,2021-10-15
05+,7121508,59.44,7628856,63.68,2021-10-15
18+,6605967,66.84,7056596,71.4,2021-10-15
05+,7127758,59.49,7634041,63.72,2021-10-16
12+,7127758,65.53,7634041,70.18,2021-10-16
18+,6611329,66.89,7061213,71.44,2021-10-16
65+,1647701,82.68,1725714,86.59,2021-10-16
18+,6614438,66.92,7063638,71.47,2021-10-17
05+,7131440,59.53,7636840,63.74,2021-10-17
12+,7131440,65.56,7636840,70.21,2021-10-17
65+,1647951,82.69,1726057,86.61,2021-10-17
65+,1648540,82.72,1726884,86.65,2021-10-18
18+,6619603,66.97,7068384,71.51,2021-10-18
05+,7137295,59.57,7642100,63.79,2021-10-18
12+,7137295,65.62,7642100,70.26,2021-10-18
05+,7144131,59.63,7648703,63.84,2021-10-19
12+,7144131,65.68,7648703,70.32,2021-10-19
18+,6625754,67.04,7074417,71.58,2021-10-19
65+,1649362,82.76,1728052,86.71,2021-10-19
65+,1650191,82.8,1729344,86.77,2021-10-20
05+,7151137,59.69,7655529,63.9,2021-10-20
12+,7151137,65.75,7655529,70.38,2021-10-20
18+,6632025,67.1,7080662,71.64,2021-10-20
65+,1651188,82.85,1730630,86.84,2021-10-21
18+,6639069,67.17,7087350,71.71,2021-10-21
05+,7159046,59.76,7662944,63.96,2021-10-21
12+,7159046,65.82,7662944,70.45,2021-10-21
18+,6645324,67.23,7093481,71.77,2021-10-22
05+,7166056,59.81,7669710,64.02,2021-10-22
12+,7166056,65.88,7669710,70.51,2021-10-22
65+,1651957,82.89,1731914,86.9,2021-10-22
65+,1652502,82.92,1733057,86.96,2021-10-23
18+,6649803,67.28,7098482,71.82,2021-10-23
12+,7171204,65.93,7675251,70.56,2021-10-23
05+,7171204,59.86,7675251,64.06,2021-10-23
05+,7175586,59.89,7679900,64.1,2021-10-24
12+,7175586,65.97,7679900,70.61,2021-10-24
18+,6653538,67.32,7102674,71.86,2021-10-24
65+,1652919,82.94,1734055,87.01,2021-10-24
18+,6658547,67.37,7108220,71.92,2021-10-25
65+,1653736,82.98,1735433,87.08,2021-10-25
05+,7181239,59.94,7685887,64.15,2021-10-25
12+,7181239,66.02,7685887,70.66,2021-10-25
05+,7189624,60.01,7695780,64.24,2021-10-26
12+,7189624,66.1,7695780,70.75,2021-10-26
18+,6666133,67.44,7117471,72.01,2021-10-26
65+,1654958,83.04,1737988,87.21,2021-10-26
65+,1656037,83.09,1740437,87.33,2021-10-27
05+,7196440,60.07,7704659,64.31,2021-10-27
12+,7196440,66.16,7704659,70.83,2021-10-27
18+,6672313,67.51,7125783,72.1,2021-10-27
18+,6677908,67.56,7133216,72.17,2021-10-28
65+,1657043,83.14,1742610,87.44,2021-10-28
05+,7202634,60.12,7712549,64.38,2021-10-28
12+,7202634,66.22,7712549,70.91,2021-10-28
65+,1659507,83.27,1746642,87.64,2021-10-29
18+,6695352,67.74,7154070,72.38,2021-10-29
12+,7223117,66.41,7736653,71.13,2021-10-29
05+,7223117,60.29,7736653,64.58,2021-10-29
05+,7228696,60.34,7743136,64.63,2021-10-30
12+,7228696,66.46,7743136,71.19,2021-10-30
18+,6700238,67.79,7160072,72.44,2021-10-30
65+,1660174,83.3,1748154,87.72,2021-10-30
18+,6703577,67.82,7164464,72.49,2021-10-31
65+,1660554,83.32,1749240,87.77,2021-10-31
05+,7232525,60.37,7747869,64.67,2021-10-31
12+,7232525,66.49,7747869,71.23,2021-10-31
05+,7236995,60.41,7753511,64.72,2021-11-01
12+,7236995,66.53,7753511,71.28,2021-11-01
18+,6707557,67.86,7169717,72.54,2021-11-01
65+,1661187,83.35,1750581,87.84,2021-11-01
65+,1662096,83.4,1752402,87.93,2021-11-02
05+,7242713,60.45,7760772,64.78,2021-11-02
12+,7242713,66.59,7760772,71.35,2021-11-02
18+,6712699,67.92,7176535,72.61,2021-11-02
18+,6715924,67.95,7180896,72.65,2021-11-03
65+,1662753,83.43,1753642,87.99,2021-11-03
05+,7246210,60.48,7765647,64.82,2021-11-03
12+,7246210,66.62,7765359,71.39,2021-11-03
05+,7252136,60.53,7773752,64.89,2021-11-04
12+,7252136,66.67,7772287,71.46,2021-11-04
18+,6721381,68.0,7187403,72.72,2021-11-04
65+,1663817,83.48,1755291,88.07,2021-11-04
05+,7258995,60.59,7785545,64.99,2021-11-05
12+,7258995,66.74,7780979,71.54,2021-11-05
18+,6727581,68.07,7195529,72.8,2021-11-05
65+,1664756,83.53,1757253,88.17,2021-11-05
65+,1665608,83.57,1759155,88.27,2021-11-06
18+,6734947,68.14,7205316,72.9,2021-11-06
12+,7267231,66.81,7791681,71.63,2021-11-06
05+,7267231,60.66,7798933,65.1,2021-11-06
05+,7269859,60.68,7809426,65.18,2021-11-07
12+,7269859,66.84,7794518,71.66,2021-11-07
18+,6737229,68.16,7207872,72.93,2021-11-07
65+,1665861,83.59,1759595,88.29,2021-11-07
65+,1666571,83.62,1760658,88.34,2021-11-08
05+,7274194,60.72,7822720,65.3,2021-11-08
12+,7274194,66.88,7799238,71.7,2021-11-08
18+,6741090,68.2,7212138,72.97,2021-11-08
18+,6746903,68.26,7220306,73.05,2021-11-09
65+,1667497,83.67,1762516,88.44,2021-11-09
05+,7280558,60.77,7843149,65.47,2021-11-09
12+,7280558,66.94,7808008,71.78,2021-11-09
05+,7285797,60.81,7861867,65.62,2021-11-10
12+,7285797,66.98,7815132,71.85,2021-11-10
18+,6751675,68.31,7226877,73.12,2021-11-10
65+,1668324,83.71,1764165,88.52,2021-11-10
05+,7290726,60.86,7882992,65.8,2021-11-11
12+,7290726,67.03,7822312,71.92,2021-11-11
18+,6756131,68.36,7233355,73.18,2021-11-11
65+,1669137,83.75,1765745,88.6,2021-11-11
65+,1669896,83.79,1767242,88.67,2021-11-12
18+,6761149,68.41,7240470,73.26,2021-11-12
05+,7296301,60.9,7910171,66.03,2021-11-12
12+,7296301,67.08,7830608,71.99,2021-11-12
05+,7300812,60.94,7934034,66.22,2021-11-13
12+,7300812,67.12,7837156,72.05,2021-11-13
18+,6765028,68.45,7245967,73.31,2021-11-13
65+,1670360,83.81,1768111,88.72,2021-11-13
05+,7303368,60.96,7946944,66.33,2021-11-14
12+,7303368,67.14,7840844,72.09,2021-11-14
18+,6767238,68.47,7249233,73.34,2021-11-14
65+,1670585,83.82,1768598,88.74,2021-11-14
65+,1671210,83.86,1769823,88.8,2021-11-15
18+,6770820,68.5,7254642,73.4,2021-11-15
12+,7307342,67.18,7846819,72.14,2021-11-15
05+,7307342,60.99,7962375,66.46,2021-11-15
05+,7312565,61.04,7978597,66.6,2021-11-16
12+,7312565,67.23,7854315,72.21,2021-11-16
18+,6775653,68.55,7261510,73.47,2021-11-16
65+,1672042,83.9,1771394,88.88,2021-11-16
65+,1672850,83.94,1773100,88.97,2021-11-17
05+,7317695,61.08,7995970,66.74,2021-11-17
12+,7317695,67.28,7862229,72.28,2021-11-17
18+,6780337,68.6,7268761,73.54,2021-11-17
65+,1673690,83.98,1774709,89.05,2021-11-18
18+,6785098,68.65,7275985,73.62,2021-11-18
12+,7322876,67.32,7870168,72.36,2021-11-18
05+,7322876,61.12,8013409,66.89,2021-11-18
65+,1674552,84.02,1776362,89.13,2021-11-19
05+,7328569,61.17,8030419,67.03,2021-11-19
12+,7328569,67.38,7878780,72.43,2021-11-19
