county_name,gender,gender_display,administered_count,allocated_doses,persons_fully_vaccinated,persons_fully_vaccinated_display,report_date,administered_count_pct,persons_fully_vaccinated_pct
Piatt,Unknown,Unknown,3,0,1,<10,2021-06-15,0.0002236469360369763,0.00015487068297971194
Piatt,Female,Female,7462,0,3586,3586,2021-06-15,0.556284478902639,0.555366269165247
Piatt,Male,Male,5949,0,2869,2869,2021-06-15,0.44349187416132396,0.44432398946879353
Clinton,Female,Female,15922,0,8064,8064,2021-06-15,0.5322591428762452,0.5312252964426878
Clinton,Male,Male,13972,0,7103,7103,2021-06-15,0.46707227385170824,0.46791831357048747
Clinton,Unknown,Unknown,20,0,13,13,2021-06-15,0.0006685832720465334,0.0008563899868247694
Crawford,Other,Other,10,0,1,<10,2021-06-15,0.0007932730445819451,0.00016199578810950914
Crawford,Male,Male,5872,0,2865,2865,2021-06-15,0.46580993177851815,0.4641179329337437
Crawford,Female,Female,6546,0,3215,3215,2021-06-15,0.5192765349833413,0.5208164587720719
Crawford,Unknown,Unknown,178,0,88,88,2021-06-15,0.014120260193558623,0.014255629353636806
Brown,Male,Male,3308,0,1672,1672,2021-06-15,0.6572620703357839,0.6564585787200629
Brown,Unknown,Unknown,2,0,1,<10,2021-06-15,0.00039737730975561295,0.00039261876717707107
Brown,Female,Female,1723,0,874,874,2021-06-15,0.34234055235446054,0.3431488025127601
Marshall,Female,Female,5179,0,2539,2539,2021-06-15,0.5639769138625721,0.559251101321586
Marshall,Male,Male,3982,0,1988,1988,2021-06-15,0.4336273548949145,0.43788546255506605
Marshall,Unknown,Unknown,22,0,13,13,2021-06-15,0.00239573124251334,0.0028634361233480176
Woodford,Other,Other,4,0,1,<10,2021-06-15,0.00012829559304637885,6.421370320426378e-05
Woodford,Male,Male,14049,0,7077,7077,2021-06-15,0.45060619667714413,0.45444037757657485
Woodford,Female,Female,16924,0,8394,8394,2021-06-15,0.5428186541792289,0.5390098246965902
Woodford,Unknown,Unknown,199,0,99,99,2021-06-15,0.0063827057540573485,0.0063571566172221155
Tazewell,Female,Female,62009,0,30652,30652,2021-06-15,0.5533158439518864,0.5513147954962409
Tazewell,Other,Other,2,0,1,<10,2021-06-15,1.7846307598957774e-05,1.798625849850714e-05
Tazewell,Unknown,Unknown,161,0,82,82,2021-06-15,0.001436627761716101,0.0014748731968775854
Tazewell,Male,Male,49890,0,24860,24860,2021-06-15,0.4451761430560017,0.4471383862728875
Warren,Unknown,Unknown,2,0,1,<10,2021-06-15,0.0001691761123329386,0.00017190991920233798
Warren,Male,Male,5374,0,2641,2641,2021-06-15,0.45457621383860597,0.4540140966133746
Warren,Female,Female,6446,0,3175,3175,2021-06-15,0.5452546100490611,0.5458139934674231
Menard,Other,Other,2,0,1,<10,2021-06-15,0.0002018367140982945,0.00020052135552436334
Menard,Female,Female,5643,0,2830,2830,2021-06-15,0.5694822888283378,0.5674754361339482
Menard,Unknown,Unknown,3,0,1,<10,2021-06-15,0.0003027550711474417,0.00020052135552436334
Menard,Male,Male,4261,0,2154,2154,2021-06-15,0.4300131193864164,0.4319229997994786
Fulton,Male,Male,13826,0,7008,7008,2021-06-15,0.47809398665237385,0.47845975285041303
Fulton,Unknown,Unknown,152,0,73,73,2021-06-15,0.005256060029738234,0.004983955758858469
Fulton,Female,Female,14941,0,7566,7566,2021-06-15,0.5166499533178879,0.5165562913907285
Bond,Female,Female,5914,0,2934,2934,2021-06-15,0.5499349079412311,0.5490269461077845
Bond,Unknown,Unknown,16,0,1,<10,2021-06-15,0.0014878184861446904,0.00018712574850299402
Bond,Other,Other,2,0,1,<10,2021-06-15,0.0001859773107680863,0.00018712574850299402
Bond,Male,Male,4820,0,2400,2400,2021-06-15,0.44820531895108795,0.4491017964071856
Union,Male,Male,5555,0,2744,2744,2021-06-15,0.45038106048321713,0.4516872427983539
Union,Unknown,Unknown,11,0,1,<10,2021-06-15,0.0008918436841251824,0.0001646090534979424
Union,Female,Female,6768,0,3324,3324,2021-06-15,0.5487270958326577,0.5471604938271605
Randolph,Male,Male,11361,0,5667,5667,2021-06-15,0.503880782365725,0.5007510824423433
Randolph,Other,Other,4,0,1,<10,2021-06-15,0.00017740719386171109,8.836264027569144e-05
Randolph,Unknown,Unknown,25,0,17,17,2021-06-15,0.0011087949616356942,0.0015021648846867545
Randolph,Female,Female,11155,0,5630,5630,2021-06-15,0.4947443118818468,0.4974816647521428
Scott,Unknown,Unknown,2,0,1,<10,2021-06-15,0.0006894174422612892,0.0006968641114982578
Scott,Male,Male,1263,0,628,628,2021-06-15,0.43536711478800416,0.43763066202090595
Scott,Female,Female,1636,0,806,806,2021-06-15,0.5639434677697346,0.5616724738675958
Stark,Other,Other,1,0,1,<10,2021-06-15,0.0002447381302006853,0.0004923682914820286
Stark,Female,Female,2236,0,1104,1104,2021-06-15,0.5472344591287323,0.5435745937961596
Stark,Male,Male,1849,0,926,926,2021-06-15,0.45252080274106704,0.45593303791235845
