census_county_name,county_name,administered_count,administered_count_roll_avg,persons_fully_vaccinated,pct_vaccinated_population
"Kankakee County, IL",Kankakee,58747,300.0,27144,24.670980876899584
"Wayne County, IL",Wayne,8072,20.0,4011,24.55914768552535
"Franklin County, IL",Franklin,19515,63.0,9492,24.526498023306893
"Jefferson County, IL",Jefferson,19428,67.0,9267,24.50290851401375
"Clay County, IL",Clay,6378,24.0,3228,24.35674941522674
"Shelby County, IL",Shelby,9590,35.0,5253,24.161722091900096
"Cumberland County, IL",Cumberland,5143,19.0,2574,23.815692079940785
"Massac County, IL",Massac,6762,23.0,3245,23.046875
"Edwards County, IL",Edwards,2808,10.0,1454,22.74718397997497
"Lawrence County, IL",Lawrence,6727,19.0,3454,21.9092927370758
"Vermilion County, IL",Vermilion,36523,91.0,16737,21.79126630731974
"Johnson County, IL",Johnson,5482,16.0,2692,21.612074502247914
"Brown County, IL",Brown,2854,8.0,1415,21.58328248932276
"Hardin County, IL",Hardin,1767,6.0,837,21.406649616368288
"Hamilton County, IL",Hamilton,3315,6.0,1705,20.886928825186818
"Pope County, IL",Pope,1679,7.0,809,19.207027540360873
"Fayette County, IL",Fayette,8112,38.0,4058,18.948449757190886
"Pulaski County, IL",Pulaski,2030,6.0,994,18.195130880468607
"Henderson County, IL",Henderson,2377,7.0,1218,18.15471754359815
"Alexander County, IL",Alexander,1483,6.0,692,11.41914191419142
"Unknown County, IL",Unknown,148488,846.0,66237,0.0
"Out Of State County, IL",Out Of State,167850,1191.0,75186,0.0
