first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated
5980,15269,780,22029,16049,0,2,0,2,2
1375,3457,291,5123,3748,0,0,0,0,0
8364,21932,1439,31735,23371,1,0,0,1,0
10679,28449,1296,40424,29745,0,2,0,2,2
9327,30345,1284,40956,31629,0,0,0,0,0
14998,28990,1143,45131,30133,0,0,0,0,0
15433,24860,1358,41651,26218,0,0,0,0,0
11462,15954,933,28349,16887,0,1,0,1,1
5779,7001,411,13191,7412,0,0,0,0,0
13643,19415,1607,34665,21022,1,3,0,4,3
13965,20178,1511,35654,21689,0,2,0,2,2
12936,20453,1401,34790,21854,0,1,0,1,1
11668,17920,1448,31036,19368,0,1,0,1,1
12404,20266,1650,34320,21916,0,1,0,1,1
8608,9672,1033,19313,10705,1,1,0,2,1
3054,2694,416,6164,3110,0,0,0,0,0
9175,13832,1978,24985,15810,1,0,0,1,0
9013,13728,2017,24758,15745,0,0,0,0,0
8658,14486,1610,24754,16096,0,0,0,0,0
8243,13963,1546,23752,15509,0,2,0,2,2
8285,13552,1120,22957,14672,1,0,0,1,0
4331,4694,624,9649,5318,0,0,0,0,0
1932,1552,305,3789,1857,0,0,0,0,0
832,943,141,1916,1084,0,0,0,0,0
7880,14812,1002,23694,15814,1,1,0,2,1
6805,10861,898,18564,11759,0,0,1,1,1
6296,14219,1013,21528,15232,0,2,0,2,2
6810,14859,1037,22706,15896,0,0,0,0,0
4689,9664,481,14834,10145,0,1,0,1,1
1840,4117,219,6176,4336,0,0,0,0,0
5878,13306,911,20095,14217,0,1,0,1,1
6298,14934,953,22185,15887,1,2,0,3,2
5639,12316,923,18878,13239,0,0,0,0,0
5526,12433,1072,19031,13505,0,0,0,0,0
5634,12644,925,19203,13569,0,0,1,1,1
3598,9010,483,13091,9493,0,2,0,2,2
1137,2986,229,4352,3215,0,0,0,0,0
4913,9724,929,15566,10653,1,1,0,2,1
5209,11052,898,17159,11950,0,0,0,0,0
4848,9304,857,15009,10161,0,0,0,0,0
4302,8589,703,13594,9292,0,0,0,0,0
4990,9193,818,15001,10011,0,1,0,1,1
3378,5589,492,9459,6081,0,1,0,1,1
1420,1982,187,3589,2169,0,0,0,0,0
4552,4420,720,9692,5140,0,0,0,0,0
4852,8269,732,13853,9001,1,0,0,1,0
4628,6960,685,12273,7645,0,1,0,1,1
4004,6367,738,11109,7105,0,0,0,0,0
4838,6891,765,12494,7656,0,0,0,0,0
3138,4486,445,8069,4931,0,0,0,0,0
1623,1985,114,3722,2099,0,0,0,0,0
4592,5645,664,10901,6309,1,0,0,1,0
4655,6200,611,11466,6811,0,2,0,2,2
