county_name,age_group,administered_count,administered_count_display,persons_fully_vaccinated,persons_fully_vaccinated_display,population_administered,population_fully_vaccinated,report_date,total_administered_population,total_population_fully_vaccinated,sort_administered_population,sort_population_fully_vaccinated,administered_count_pct,persons_fully_vaccinated_pct
Crawford,65+,5405,5405,2677,2677,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.41411277965062826,0.4153607447633825
Brown,16-64,3654,3654,1862,1862,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.712280701754386,0.7147792706333973
Brown,65+,1453,1453,734,734,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.2832358674463938,0.2817658349328215
Marshall,16-64,5408,5408,2714,2714,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5618701298701299,0.5656523551479783
Marshall,65+,4013,4013,2003,2003,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.41693506493506494,0.417465610671113
Woodford,16-64,19988,19988,10134,10134,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.6181728211789448,0.6230173367760974
Woodford,65+,11536,11536,5779,5779,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.35677614894538257,0.35528095413746463
Tazewell,16-64,73258,73258,37028,37028,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.6278701029337401,0.6329789052617183
Tazewell,65+,40204,40204,20123,20123,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.3445751947684634,0.34399466648432425
Warren,16-64,7088,7088,3533,3533,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5742526128169813,0.5739116309291747
Warren,65+,5022,5022,2526,2526,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.4068702908531151,0.41033138401559455
Menard,16-64,6278,6278,3194,3194,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.608864319658617,0.6123466257668712
Menard,65+,3823,3823,1936,1936,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.3707690815633789,0.37116564417177916
Fulton,16-64,18048,18048,9265,9265,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.6055359838953196,0.6126429941149243
Fulton,65+,11250,11250,5666,5666,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.377453447408153,0.3746611122131852
Bond,16-64,6413,6413,3209,3209,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5739216037229282,0.5765361121092346
Bond,65+,4523,4523,2267,2267,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.40477895113656703,0.40729428674092705
Union,16-64,7664,7664,3793,3793,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.6017115490303839,0.6018724214535068
Union,65+,4885,4885,2434,2434,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.3835283033681401,0.3862265947318312
Randolph,16-64,13721,13721,6983,6983,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5934688581314879,0.5987823700908935
Randolph,65+,9174,9174,4583,4583,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.3967993079584775,0.3929857657348654
Scott,16-64,1699,1699,852,852,0.0,0.0,2021-07-05,0.0,0.0,0.0,0.0,0.5640770252324038,0.5657370517928287
